QKEY	F_RACETHN_RECRUITMENT	THERMO2_THERMTRUMP_W23	VALIDATED_VOTER_2016_W23	COMPORT_W23	WEIGHT_W23
198848	1	100	1	1	0.1687633
198946	1	90	1	1	0.9900987
199454	1	75	1	1	0.4671628
199474	1	50	1	1	0.2224692
199510	1	80	1	1	0.1550676
199614	1	75	1	1	0.2523466
199643	1	55	1	1	0.3614754
199720	1	5	1	1	0.2782745
199866	1	60	1	1	7.9427074
199964	1	100	1	1	0.1371264
200202	1	0	0	3	0.3603141
200312	4	60	1	1	0.7838428
200324	1	0	1	1	0.4208432
200452	1	0	1	1	0.1231314
200718	1	0	1	1	0.1025576
200761	1	10	1	1	0.1552465
200782	1	0	1	1	0.2049639
200822	2	100	0	3	0.2593256
200943	1	70	1	1	0.3396313
201095	1	0	1	1	0.2311072
201153	4	5	1	1	0.4249357
201541	1	95	1	1	0.2117091
202127	1	50	1	1	0.0923165
202145	1	3	0	2	0.3872944
202467	1	85	1	1	0.3044155
202545	1	80	1	1	0.2111683
202548	1	0	NA	NA	0.3395755
202784	1	20	1	1	0.3060069
202800	1	1	1	1	0.4339389
202849	1	14	1	1	0.1044655
202908	1	20	1	1	0.5656942
203133	2	75	1	1	0.2004634
203464	1	11	1	1	0.1933897
203469	1	5	1	1	0.933874
203617	1	30	1	1	0.2455692
203802	2	20	0	3	0.1655499
203921	1	60	1	1	1.4987603
204164	3	0	1	1	0.8005919
204329	1	0	1	1	1.876963
204354	1	90	1	1	0.1714353
204536	1	80	1	1	1.293048
204601	1	50	1	1	1.0442034
204832	1	100	1	1	1.4888938
205136	1	5	1	1	1.2638143
205459	1	50	0	2	1.1310348
205490	2	20	1	1	0.2269038
205566	1	20	1	1	0.5080388
205600	1	10	1	1	0.062755
206457	9	75	1	1	0.2865563
206605	1	90	1	1	0.4072303
207365	1	0	1	1	1.8224288
207436	1	0	1	1	0.7059588
207452	1	100	1	1	0.9397995
207502	2	10	0	2	0.4746866
207573	1	80	1	1	0.3994379
207606	1	20	1	1	0.6745404
207814	1	85	1	1	0.3154734
208062	1	35	1	1	0.362269
208237	1	5	1	1	0.6456618
208492	1	0	1	1	0.1516196
208695	1	100	1	1	0.818075
209123	1	100	1	1	1.0289958
209250	2	0	0	3	0.70455
209440	1	70	1	1	0.4542387
209530	1	30	0	2	0.7089102
209589	1	70	1	1	0.1728975
209937	1	20	0	2	0.4727636
210108	1	0	1	1	0.1533543
210121	1	0	1	1	0.1254869
210128	1	0	1	1	0.8064368
210185	1	0	1	1	0.1554981
210306	1	5	1	1	0.3374398
210454	1	80	1	1	0.062755
210564	1	50	1	1	0.1435072
210743	3	50	1	1	0.9184977
210776	1	30	1	1	0.5362768
211074	1	55	1	1	0.1185845
211125	1	85	1	1	0.3557154
211378	1	0	1	1	1.3397441
211504	1	60	1	1	0.5584519
211574	2	50	0	2	0.3222048
211788	1	0	1	1	0.1360486
212111	1	50	1	1	0.6204872
212131	4	65	1	1	0.3158818
212322	1	90	1	1	0.3141907
212451	1	0	1	1	0.2017022
212492	1	50	1	1	0.394535
212597	1	25	NA	NA	0.404317
212680	3	75	1	1	0.2124232
212795	4	95	1	1	1.3160549
212845	4	100	1	1	0.2001327
213161	4	55	1	1	0.1576038
213456	1	50	1	1	0.2206657
213541	1	100	1	1	0.1499904
213817	1	25	1	1	0.3346072
214437	1	25	1	1	0.1567129
214495	1	0	1	1	0.2356298
214562	1	10	0	3	0.2268159
214778	1	100	1	1	0.7247976
214898	1	100	1	1	0.5894615
215578	1	40	1	1	0.850329
215767	1	50	0	2	2.963972
216110	1	40	0	3	0.3337528
216153	1	10	1	1	0.2835297
216156	1	90	1	1	0.3025288
216315	1	60	0	3	1.5340167
216466	1	50	1	1	0.8393453
216528	1	0	1	1	0.1109215
217429	1	90	1	1	0.9508103
217659	2	40	1	1	0.9027334
218055	1	11	1	1	0.3863554
218205	1	0	1	1	0.4283202
218459	1	75	NA	NA	0.2864488
218656	1	90	1	1	0.3774604
218719	1	0	1	1	0.1354167
218837	1	40	1	1	0.0829633
219063	1	0	1	1	0.1785661
219150	1	75	1	1	0.3196307
219223	1	75	1	1	0.1709548
219306	1	75	1	1	2.1472023
219679	1	90	1	1	0.335635
219998	4	10	1	1	0.1106389
220020	1	10	1	1	0.1548064
220395	1	0	1	1	0.1674337
221186	1	0	1	1	0.1764806
221448	1	75	1	1	0.1550524
221978	2	0	0	3	0.4055187
222088	1	85	1	1	0.0658456
222247	1	20	1	1	0.5069337
222354	1	10	0	3	1.1613279
222755	1	0	1	1	0.1135329
223028	3	0	1	1	0.1243979
223061	1	100	1	1	0.4059289
223257	4	15	0	2	0.8653828
223496	1	90	1	1	2.8693252
223549	1	0	1	1	0.1579452
223554	1	75	1	1	0.3506095
223603	1	50	0	2	0.8448117
224561	2	0	1	1	1.2594036
224705	1	100	0	3	1.0784447
224776	1	0	0	3	0.8235177
224870	1	0	1	1	3.1094241
225476	1	75	0	3	2.1854871
225532	1	10	0	2	1.7974653
225546	1	999	1	1	1.9769575
225681	1	68	1	1	0.1835265
226237	1	10	1	1	0.6266107
226560	1	0	1	1	0.2447077
226903	1	80	1	1	0.7029838
227099	1	80	1	1	0.0669326
227117	1	80	0	3	0.4273785
227278	1	75	1	1	0.4223284
227443	4	75	1	1	0.123604
227551	1	5	1	1	0.1125583
227805	1	0	1	1	0.5497345
227892	1	90	1	1	0.0699739
228162	1	55	1	1	5.9918487
228400	2	80	1	1	0.0982459
228551	1	100	1	1	0.7145432
228761	1	85	1	1	0.3691466
229101	3	0	1	1	0.0870034
229136	1	100	1	1	0.6536985
229457	3	50	1	1	1.6960521
229561	1	25	NA	NA	0.3446082
229720	1	25	0	3	0.6090766
230027	1	100	0	3	0.5822761
230098	1	10	1	1	0.0881528
230582	1	10	1	1	0.0899917
230587	1	25	0	2	2.3976407
230613	1	85	1	1	0.7921909
230684	1	25	1	1	0.3093013
230747	1	10	1	1	0.7517431
230983	1	0	1	1	0.062755
231013	2	0	1	1	1.2083065
231073	1	10	1	1	0.4806657
231088	1	85	1	1	0.5912057
232131	1	90	1	1	0.1650277
232385	3	0	1	1	0.3382656
232561	1	0	1	1	0.6849629
232685	2	75	1	4	1.1454751
232753	1	0	1	1	0.1803831
233190	3	15	1	1	0.1381608
233296	1	70	0	3	0.2412574
233364	1	10	1	1	0.7582718
233564	1	60	1	1	0.5482644
233755	1	0	1	1	0.062755
234001	1	60	1	1	0.226647
234064	1	45	1	1	1.5059945
234317	1	50	1	1	0.1583187
234462	1	100	1	1	0.4609838
234741	1	80	1	1	0.2215952
234783	1	60	0	2	3.0237744
234834	1	0	1	1	0.9450825
234858	1	50	0	2	0.5481946
235086	1	80	1	1	0.5944725
235304	1	100	1	1	1.8509433
235397	1	70	1	1	0.2028274
235578	3	80	0	3	0.1133309
235650	1	50	1	1	0.0849441
235839	1	99	1	1	0.2471908
235880	3	0	1	1	0.2207222
236005	1	100	1	1	2.5880626
236140	1	30	1	1	0.2737162
236237	1	75	1	1	0.0740542
236265	1	0	1	1	0.6987495
236294	1	0	1	1	0.6342796
236370	1	90	1	1	0.5275633
236617	1	100	1	1	0.2189879
237091	1	20	0	3	0.202144
237367	4	5	1	1	0.0781918
238002	1	75	1	1	1.2595403
238030	1	0	1	1	0.1873033
238140	1	100	1	1	0.2292208
238467	1	0	1	1	0.0680261
238619	1	70	1	1	0.0736682
238622	1	25	1	1	0.0885665
238686	1	1	1	1	1.5685355
238840	1	75	NA	NA	0.1045821
238936	1	99	1	1	0.1182844
239017	1	0	1	1	0.7197271
239268	1	0	1	1	0.1064401
239297	1	2	1	1	0.0754032
239316	1	60	0	2	2.1662915
239382	4	0	0	3	0.7142214
239472	3	0	1	1	0.2266949
239644	9	0	1	1	0.4507782
239985	1	50	1	1	0.3041138
240597	1	85	1	1	1.9602619
240975	1	0	1	1	0.1470473
241537	1	100	1	1	0.2007063
242029	1	33	1	1	0.0947919
242242	1	25	1	1	0.5368411
242533	1	100	1	1	0.1263618
243060	1	100	1	1	0.0847025
243238	1	25	1	1	0.293766
243353	1	70	1	1	0.1255699
243528	1	15	1	1	0.2493927
244081	1	20	1	1	0.4752429
244331	1	45	1	1	0.1659875
244539	1	100	1	1	1.1766436
244937	1	0	1	1	0.1249047
245684	1	100	0	3	0.6635639
